2000,10,1,1
3000,20,2,2
4000,30,3,3
5000,40,4,4
6000,50,5,5
7000,60,6,6
8000,70,7,7
9000,80,8,8
10000,90,9,9
11000,100,10,10
12000,110,11,11
13000,120,12,12
14000,130,13,13
15000,140,14,14
16000,150,15,15
17000,160,16,16
18000,170,17,17
19000,180,18,18
20000,190,19,19
21000,200,20,20
22000,210,21,21
23000,220,22,22
24000,230,23,23
25000,240,24,24
26000,250,25,25
27000,260,26,26
28000,270,27,27
29000,280,28,28
30000,290,29,29
31000,300,30,30
32000,310,31,31
33000,320,32,32
34000,330,33,33
35000,340,34,34
36000,350,35,35
37000,360,36,36
38000,370,37,37
39000,380,38,38
40000,390,39,39
41000,400,40,40
42000,410,41,41
43000,420,42,42
44000,430,43,43
45000,440,44,44
46000,450,45,45
47000,460,46,46
48000,470,47,47
49000,480,48,48
50000,490,49,49
