2000,10,20,1
3000,20,30,2
4000,30,40,3
5000,40,50,4
6000,50,60,5
7000,60,70,6
8000,70,80,7
9000,80,90,8
10000,90,100,9
11000,100,110,10
12000,110,120,11
13000,120,130,12
14000,130,140,13
15000,140,150,14
16000,150,160,15
17000,160,170,16
18000,170,180,17
19000,180,190,18
20000,190,200,19
21000,200,210,20
22000,210,220,21
23000,220,230,22
24000,230,240,23
25000,240,250,24
26000,250,260,25
27000,260,270,26
28000,270,280,27
29000,280,290,28
30000,290,300,29
31000,300,310,30
32000,310,320,31
33000,320,330,32
34000,330,340,33
35000,340,350,34
36000,350,360,35
37000,360,370,36
38000,370,380,37
39000,380,390,38
40000,390,400,39
41000,400,410,40
42000,410,420,41
43000,420,430,42
44000,430,440,43
45000,440,450,44
46000,450,460,45
47000,460,470,46
48000,470,480,47
49000,480,490,48
50000,490,500,49
